Rank,Player,CMP,PASS_ATT,PCT,Pass_YDS,Y/A,TD,INT,SACKS,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST,COMP,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
64.0,Marcus Mariota (WAS),15.0,23.0,65.2,164,7.1,1.0,1.0,3.0,8.0,52.0,0.0,1.0,3.0,12.7,4.2,0.1%,15.0,100,4.3,9.0,1.0,0.0,0.0,0.0,2.4,3.0,1.0,2.0,9.0,2.0,0.0,3.0,54.0
65.0,Clayton Tune (ARI),12.0,21.0,57.1,62,3.0,0.0,2.0,7.0,8.0,30.0,1.0,1.0,8.0,9.5,1.2,0.0%,12.0,34,1.6,2.0,0.0,0.0,0.0,0.0,2.2,7.0,3.0,1.0,4.0,2.0,1.0,0.0,13.0
66.0,Blaine Gabbert (FA),18.0,35.0,51.4,185,5.3,0.0,3.0,1.0,7.0,45.0,0.0,0.0,2.0,8.9,4.5,0.0%,18.0,85,2.4,8.0,2.0,1.0,0.0,0.0,1.9,1.0,10.0,0.0,10.0,6.0,5.0,1.0,45.0
67.0,Brian Hoyer (FA),23.0,42.0,54.8,231,5.5,0.0,2.0,1.0,3.0,-3.0,0.0,0.0,3.0,7.0,2.3,0.0%,23.0,157,3.7,9.0,2.0,1.0,1.0,0.0,2.1,1.0,1.0,1.0,14.0,10.0,1.0,8.0,44.0
68.0,Brett Rypien (MIN),18.0,38.0,47.4,172,4.5,0.0,1.0,2.0,3.0,19.0,0.0,1.0,2.0,5.8,2.9,0.0%,18.0,90,2.4,8.0,1.0,1.0,0.0,0.0,2.4,2.0,4.0,2.0,8.0,6.0,2.0,0.0,53.0
69.0,Cooper Rush (DAL),18.0,24.0,75.0,144,6.0,0.0,1.0,1.0,12.0,-5.0,0.0,0.0,8.0,4.2,0.5,0.1%,18.0,82,3.4,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,6.0,0.0,1.0,67.0
70.0,Malik Willis (GB),4.0,5.0,80.0,74,14.8,0.0,0.0,4.0,5.0,21.0,0.0,1.0,3.0,3.1,1.0,0.1%,4.0,24,4.8,2.0,1.0,1.0,1.0,0.0,2.8,4.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0
71.0,Jaren Hall (FA),13.0,20.0,65.0,168,8.4,0.0,1.0,4.0,6.0,14.0,0.0,2.0,3.0,3.1,1.0,0.0%,13.0,76,3.8,6.0,2.0,1.0,1.0,0.0,2.7,4.0,2.0,1.0,9.0,5.0,0.0,3.0,80.0
72.0,Mike White (BUF),5.0,6.0,83.3,74,12.3,1.0,1.0,0.0,8.0,-9.0,0.0,1.0,6.0,3.1,0.5,0.1%,5.0,41,6.8,1.0,1.0,1.0,1.0,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0
73.0,Sean Clifford (GB),1.0,1.0,100.0,37,37.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,2.0,1.3,0.7,0.1%,1.0,34,34.0,1.0,1.0,1.0,0.0,0.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0
74.0,AJ McCarron (FA),4.0,5.0,80.0,19,3.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.8,0.4,0.0%,4.0,5,1.0,1.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,3.0,1.0,0.0,0.0,82.0
75.0,Logan Woodside (CIN),3.0,4.0,75.0,27,6.8,0.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.7,0.7,0.0%,3.0,2,0.5,2.0,0.0,0.0,0.0,0.0,2.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0
78.0,Aaron Rodgers (NYJ),0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0
82.0,Sam Ehlinger (IND),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,Chris Oladokun (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,Max Duggan (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,Malik Cunningham (BAL),0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105.0,Skylar Thompson (MIA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,Jacob Eason (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,Kyle Trask (TB),0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0,-0.1,-0.1,0.1%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0
120.0,Teddy Bridgewater (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,Matt Barkley (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,-0.3,-0.3,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,Nathan Peterman (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,-4.0,0.0,0.0,2.0,-0.4,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123.0,Kyle Allen (PIT),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,-13.0,0.0,0.0,7.0,-1.3,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
